period_date,period_type,source_file,bulletin_period,deposit_avg_rate_azn_pct,deposit_legal_rate_azn_pct,deposit_individual_rate_azn_pct,loan_avg_rate_azn_pct,loan_legal_rate_azn_pct,loan_individual_rate_azn_pct,deposit_avg_rate_fx_pct,deposit_legal_rate_fx_pct,deposit_individual_rate_fx_pct,loan_avg_rate_fx_pct,loan_legal_rate_fx_pct,loan_individual_rate_fx_pct,country_name,country_iso
2009-12-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.662952694568434,6.746734798930824,12.940092829025316,14.649243154767603,12.276878861734627,20.41839099147171,10.797985330539023,5.864152607266311,12.409959689183946,16.708503036153505,14.009336170410792,23.23709330319156,Azerbaijan,AZE
2010-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,11.088899582560577,6.399453914353623,12.04656227075661,13.660643929492656,11.247447930289878,19.28123730055613,10.630501243704192,5.430801662808616,12.328501356674641,16.434329094164134,13.281870497051935,22.835411946898336,Azerbaijan,AZE
2011-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.649349282308517,6.145997485773756,11.103937454233314,16.238466427104793,14.475815203859959,19.092108559170285,11.267840977942724,8.02262514672487,11.386434225039325,16.3381564256504,13.71591717381907,22.982775640179852,Azerbaijan,AZE
2012-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.043775294827034,6.7365786821635245,10.369642731213707,15.135070998448523,13.058855529500985,18.36686109360694,10.286572524726303,3.757570487761058,10.836539138845092,15.623024936514769,12.806142071544352,21.834710343278726,Azerbaijan,AZE
2013-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,9.51416177117577,6.035367872537824,9.867704214231768,14.444365886076246,11.567439655402302,18.340665338502227,9.718427688103633,3.0835862261532743,10.304374478067478,14.51574563723938,10.8855536685501,20.75353080503426,Azerbaijan,AZE
2014-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.77742713215529,5.345939508997811,9.453870856716302,13.843773750816332,10.122169963883403,18.515482118779868,9.373168826357345,5.952822356429402,10.02173537264181,14.532845037996156,9.700052817152748,21.96631170437591,Azerbaijan,AZE
2015-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.328127733547083,5.80172700383726,9.33235953210862,13.76047450738336,9.919227102347069,17.54360417432812,8.252752727888637,4.96781163375886,9.00358144381498,13.737,9.98695807967488,21.260997120234773,Azerbaijan,AZE
2016-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,6.3565334326834355,3.7943101049297603,10.178784193448665,12.177118423039293,8.364858814733088,16.072758654657974,4.675207599611729,3.2000024818375503,5.595330670812884,9.157918390189083,5.714906136418437,17.302419362597636,Azerbaijan,AZE
2017-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,10.296818151290225,5.1682674547192935,11.741638554738707,13.091153752203144,8.82388242319998,16.37714894397423,3.0546474749815697,1.389340509026996,3.759291773744404,10.369396328526484,7.149786016249217,17.219761073525685,Azerbaijan,AZE
2018-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,9.194754339848242,4.214014938227397,9.999822175443402,14.171954221691067,9.153637386937444,16.923494131852316,2.431153369469372,1.2545410720049905,2.9675531524505074,8.55969319240744,6.297389022450028,15.206783024248244,Azerbaijan,AZE
2019-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,9.312570258040031,4.76829870184855,9.757696383705753,14.179135971556015,8.970264473426152,16.964161404248753,1.9273511105233967,1.2568812895333508,2.4481030822379446,6.163947083616293,5.377481045378932,8.869964392597568,Azerbaijan,AZE
2020-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.54957511098392,6.25428797983814,9.00994605273823,13.6708024109107,9.14418730850302,16.1447568381334,1.74925355308544,1.06566608829311,2.17459461008464,5.30286928064928,5.0049955864506,6.95326986183238,Azerbaijan,AZE
2021-01-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.61849064315292,5.91971468423213,8.99500174722291,13.6861695482852,9.27444701343369,16.089823539911,1.71060850259922,1.04583195582674,2.14868175260768,5.20880168215223,4.97570660218147,6.52531938551428,Azerbaijan,AZE
2021-02-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.44640341817338,5.28325961978954,9.00303668388003,13.7070807907042,9.36984523200807,16.0753805145858,1.70402363376554,1.03804020487304,2.15441028545193,5.16855318364043,4.97109573816367,6.21940435084684,Azerbaijan,AZE
2021-03-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.6243741779423,5.78287816726704,9.13636964980899,13.746083103206,9.40465875950486,16.1041183328544,1.756781714466,1.1553023843207,2.14659609702031,5.17509812342222,4.93180883508592,6.67282497364388,Azerbaijan,AZE
2021-04-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.5450535887272,5.7575904795128,9.06495268502123,13.8152474944816,9.70538681263682,16.0413289235346,1.70898392300841,1.06572505226748,2.14497175862118,5.10628279299398,4.91933609899318,6.26754269527991,Azerbaijan,AZE
2021-05-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.51170383521283,5.15360503328655,9.08791804968131,13.8623107528692,9.7160898326826,16.1015808124507,1.61455062588257,1.06457717758879,1.99336949448188,5.02209640060797,4.83864873489208,6.15889217659314,Azerbaijan,AZE
2021-06-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.51870881004197,5.11096295975276,9.07011706381121,13.8988634378667,9.70075046639121,16.1084762868226,1.54922637142634,0.970687399373326,1.98283426413567,4.97696147945154,4.79927445575417,6.08084412004552,Azerbaijan,AZE
2021-07-01,monthly,statistical_bulletin_2026_01.xlsx,2026-01-01,8.54365591717707,5.2504719722232,9.08942859907189,13.939897742794,9.70520959138022,16.1347847553899,1.56598201778525,0.962367532912016,1.97234249251187,5.00706345254856,4.85041422191262,5.98431379317124,Azerbaijan,AZE
